future,accuracy,roc,f1,precision,recall
F_AD,0.4805194805194805,0.49290966386554624,0.6273291925465839,0.48095238095238096,0.9017857142857143
F_BO,0.5238095238095238,0.5,0.0,0.0,0.0
F_BP,0.4588744588744589,0.5078740157480315,0.6246246246246246,0.45414847161572053,1.0
F_C,0.5757575757575758,0.5779352226720648,0.49484536082474223,0.6233766233766234,0.41025641025641024
F_CC,0.5064935064935064,0.5043478260869565,0.017241379310344827,1.0,0.008695652173913044
F_CD,0.5151515151515151,0.5,0.0,0.0,0.0
F_CL,0.5454545454545454,0.5,0.7058823529411764,0.5454545454545454,1.0
F_CT,0.4935064935064935,0.5,0.0,0.0,0.0
F_DX,0.45147679324894513,0.4809094809094809,0.029850746268656716,0.25,0.015873015873015872
F_EC,0.44155844155844154,0.49038461538461536,0.6126126126126126,0.44541484716157204,0.9807692307692307
F_ED,0.5108225108225108,0.5,0.0,0.0,0.0
F_ES,0.5627705627705628,0.5,0.7202216066481995,0.5627705627705628,1.0
F_FC,0.48917748917748916,0.5,0.6569767441860465,0.48917748917748916,1.0
F_FV,0.5454545454545454,0.5510979094600692,0.5116279069767441,0.5913978494623656,0.45081967213114754
F_GC,0.5021645021645021,0.4892231530845393,0.5724907063197027,0.5539568345323741,0.5923076923076923
F_HG,0.5411255411255411,0.5533088235294118,0.6687499999999998,0.5144230769230769,0.9553571428571429
F_HO,0.5274261603375527,0.5,0.6906077348066298,0.5274261603375527,1.0
F_JY,0.5757575757575758,0.568544141976237,0.4948453608247423,0.5647058823529412,0.44036697247706424
F_KC,0.49783549783549785,0.5126050420168067,0.049180327868852465,1.0,0.025210084033613446
F_LB,0.5281385281385281,0.5,0.0,0.0,0.0
F_LC,0.4588744588744589,0.4679016049197541,0.08759124087591241,0.3157894736842105,0.05084745762711865
F_LN,0.5281385281385281,0.525206611570248,0.4834123222748815,0.504950495049505,0.4636363636363636
F_MD,0.5670995670995671,0.5,0.7237569060773481,0.5670995670995671,1.0
F_MP,0.5238095238095238,0.5,0.6875000000000001,0.5238095238095238,1.0
F_NG,0.4588744588744589,0.5023809523809524,0.6223564954682779,0.4557522123893805,0.9809523809523809
F_NQ,0.5887445887445888,0.5,0.7411444141689374,0.5887445887445888,1.0
F_NR,0.4675324675324675,0.5,0.0,0.0,0.0
F_O,0.48484848484848486,0.5,0.0,0.0,0.0
F_OJ,0.5021645021645021,0.49966261808367074,0.3783783783783784,0.49295774647887325,0.30701754385964913
F_PA,0.4329004329004329,0.5177638866909321,0.24277456647398843,0.6774193548387096,0.14788732394366197
F_PL,0.4935064935064935,0.5108108108108108,0.12030075187969924,0.6153846153846154,0.06666666666666667
F_RB,0.5627705627705628,0.5238095238095237,0.7038123167155426,0.5581395348837209,0.9523809523809523
F_RU,0.5497835497835498,0.5,0.7094972067039106,0.5497835497835498,1.0
F_S,0.4805194805194805,0.47915104244787765,0.4392523364485982,0.46534653465346537,0.415929203539823
F_SB,0.5367965367965368,0.5,0.0,0.0,0.0
F_SF,0.5887445887445888,0.5265151515151515,0.1592920353982301,0.6428571428571429,0.09090909090909091
F_SI,0.5324675324675324,0.4944444444444444,0.6804733727810651,0.5424528301886793,0.9126984126984127
F_SM,0.5411255411255411,0.5060569351907934,0.23188405797101452,0.47058823529411764,0.15384615384615385
F_TU,0.5194805194805194,0.5,0.0,0.0,0.0
F_TY,0.48917748917748916,0.503217746820109,0.43809523809523815,0.5542168674698795,0.36220472440944884
F_US,0.5497835497835498,0.5,0.7094972067039106,0.5497835497835498,1.0
F_W,0.5108225108225108,0.5,0.0,0.0,0.0
F_XX,0.5872340425531914,0.5448148148148148,0.6978193146417445,0.6021505376344086,0.8296296296296296
F_YM,0.5844155844155844,0.5,0.7377049180327869,0.5844155844155844,1.0
F_AX,0.5702127659574469,0.5791002532399822,0.5877551020408163,0.6666666666666666,0.5255474452554745
F_CA,0.5914893617021276,0.5,0.7433155080213903,0.5914893617021276,1.0
F_DT,0.5276595744680851,0.5118679050567595,0.6021505376344086,0.5753424657534246,0.631578947368421
F_UB,0.5191489361702127,0.507938234014789,0.654434250764526,0.5194174757281553,0.8842975206611571
F_UZ,0.5404255319148936,0.5,0.0,0.0,0.0
F_GS,0.43776824034334766,0.48945289206917114,0.015037593984962405,0.25,0.007751937984496124
F_LX,0.5064377682403434,0.48766799586471715,0.6525679758308157,0.5167464114832536,0.8852459016393442
F_SS,0.5450643776824035,0.5,0.0,0.0,0.0
F_DL,0.5304347826086957,0.5346121768140116,0.5045871559633027,0.5670103092783505,0.45454545454545453
F_ZQ,0.6493506493506493,0.5143211920529801,0.12903225806451615,0.46153846153846156,0.075
F_VX,0.620253164556962,0.5,0.0,0.0,0.0
F_AE,0.5550847457627118,0.5047187200471872,0.6808510638297872,0.5833333333333334,0.8175182481751825
F_BG,0.47257383966244726,0.46555412922550277,0.5614035087719298,0.49382716049382713,0.6504065040650406
F_BC,0.5316455696202531,0.49867002156721785,0.662613981762918,0.5477386934673367,0.8384615384615385
F_LU,0.5384615384615384,0.5,0.0,0.0,0.0
F_DM,0.5702127659574469,0.49210526315789477,0.7138810198300283,0.5915492957746479,0.9
F_AH,0.5497835497835498,0.5,0.0,0.0,0.0
F_CF,0.4805194805194805,0.4944852941176471,0.6407185628742516,0.481981981981982,0.9553571428571429
F_DZ,0.5427350427350427,0.5097614678899083,0.6985915492957746,0.5391304347826087,0.992
F_FB,0.5148936170212766,0.5271494852834566,0.6524390243902439,0.5,0.9385964912280702
F_FL,0.44565217391304346,0.46560196560196565,0.4395604395604396,0.5555555555555556,0.36363636363636365
F_FM,0.5800865800865801,0.5077873254564984,0.7298050139275767,0.5796460176991151,0.9849624060150376
F_FP,0.5336538461538461,0.5,0.6959247648902821,0.5336538461538461,1.0
F_FY,0.502127659574468,0.521761734997029,0.48,0.6067415730337079,0.39705882352941174
F_GX,0.5276595744680851,0.5232935279374908,0.5714285714285714,0.5873015873015873,0.556390977443609
F_HP,0.47391304347826085,0.5190018315018315,0.6299694189602446,0.4618834080717489,0.9903846153846154
F_LR,0.5367965367965368,0.5288287609285499,0.4568527918781726,0.5,0.4205607476635514
F_LQ,0.5877192982456141,0.5095268339155288,0.11320754716981131,0.5,0.06382978723404255
F_ND,0.44155844155844154,0.45958038802827494,0.568561872909699,0.4473684210526316,0.7798165137614679
F_NY,0.5497835497835498,0.5,0.7094972067039106,0.5497835497835498,1.0
F_PQ,0.5671641791044776,0.5112359550561798,0.7202572347266881,0.5628140703517588,1.0
F_RR,0.5281385281385281,0.5045454545454545,0.018018018018018018,1.0,0.00909090909090909
F_RF,0.5324675324675324,0.5212378640776699,0.443298969072165,0.4725274725274725,0.4174757281553398
F_RP,0.46320346320346323,0.5,0.0,0.0,0.0
F_RY,0.5627705627705628,0.5694716981132075,0.5774058577405857,0.518796992481203,0.6509433962264151
F_SH,0.5714285714285714,0.5061832061068703,0.724233983286908,0.5701754385964912,0.9923664122137404
F_SX,0.45454545454545453,0.49006056841124396,0.3942307692307692,0.5774647887323944,0.29927007299270075
F_TR,0.5108225108225108,0.513423071138517,0.5022026431718061,0.5428571428571428,0.4672131147540984
F_EB,0.6229508196721312,0.5,0.0,0.0,0.0
F_VF,0.5494505494505495,0.5032926829268293,0.7028985507246377,0.5511363636363636,0.97
F_VT,0.5686274509803921,0.5,0.725,0.5686274509803921,1.0
F_VW,0.5161290322580645,0.5,0.0,0.0,0.0
F_GD,0.5231481481481481,0.49408438451500647,0.6334519572953737,0.55625,0.7355371900826446
F_F,0.7276595744680852,0.49709302325581395,0.0,0.0,0.0
